Notes,County,County Code,Drug/Alcohol Induced,Drug/Alcohol Induced Code,Deaths,Population,Crude Rate
,"Cleburne County, AL",1029,All other non-drug and non-alcohol causes,O,2089,164419,1270.5
,"Coffee County, AL",1031,Drug-induced causes,D,50,565365,8.8
,"Coffee County, AL",1031,Alcohol-induced causes,A,33,565365,5.8
,"Coffee County, AL",1031,All other non-drug and non-alcohol causes,O,5814,565365,1028.4
,"Colbert County, AL",1033,Drug-induced causes,D,54,600933,9
,"Colbert County, AL",1033,Alcohol-induced causes,A,37,600933,6.2
,"Colbert County, AL",1033,All other non-drug and non-alcohol causes,O,7903,600933,1315.1
,"Conecuh County, AL",1035,Drug-induced causes,D,20,138602,14.4
,"Conecuh County, AL",1035,Alcohol-induced causes,A,16,138602,Unreliable
,"Conecuh County, AL",1035,All other non-drug and non-alcohol causes,O,1949,138602,1406.2
,"Coosa County, AL",1037,Drug-induced causes,D,14,119089,Unreliable
,"Coosa County, AL",1037,Alcohol-induced causes,A,Suppressed,119089,Suppressed
,"Coosa County, AL",1037,All other non-drug and non-alcohol causes,O,1567,119089,1315.8
,"Covington County, AL",1039,Drug-induced causes,D,44,412928,10.7
,"Covington County, AL",1039,Alcohol-induced causes,A,26,412928,6.3
,"Covington County, AL",1039,All other non-drug and non-alcohol causes,O,5849,412928,1416.5
,"Crenshaw County, AL",1041,Drug-induced causes,D,11,152887,Unreliable
,"Crenshaw County, AL",1041,Alcohol-induced causes,A,10,152887,Unreliable
,"Crenshaw County, AL",1041,All other non-drug and non-alcohol causes,O,2017,152887,1319.3
,"Cullman County, AL",1043,Drug-induced causes,D,188,902438,20.8
,"Cullman County, AL",1043,Alcohol-induced causes,A,87,902438,9.6
,"Cullman County, AL",1043,All other non-drug and non-alcohol causes,O,10947,902438,1213
,"Dale County, AL",1045,Drug-induced causes,D,53,545211,9.7
,"Dale County, AL",1045,Alcohol-induced causes,A,35,545211,6.4
,"Dale County, AL",1045,All other non-drug and non-alcohol causes,O,5561,545211,1020
,"Dallas County, AL",1047,Drug-induced causes,D,28,445681,6.3
,"Dallas County, AL",1047,Alcohol-induced causes,A,30,445681,6.7
,"Dallas County, AL",1047,All other non-drug and non-alcohol causes,O,5852,445681,1313
,"DeKalb County, AL",1049,Drug-induced causes,D,190,783845,24.2
,"DeKalb County, AL",1049,Alcohol-induced causes,A,46,783845,5.9
,"DeKalb County, AL",1049,All other non-drug and non-alcohol causes,O,8688,783845,1108.4
,"Elmore County, AL",1051,Drug-induced causes,D,85,892171,9.5
,"Elmore County, AL",1051,Alcohol-induced causes,A,47,892171,5.3
,"Elmore County, AL",1051,All other non-drug and non-alcohol causes,O,8497,892171,952.4
,"Escambia County, AL",1053,Drug-induced causes,D,147,412750,35.6
,"Escambia County, AL",1053,Alcohol-induced causes,A,60,412750,14.5
,"Escambia County, AL",1053,All other non-drug and non-alcohol causes,O,5115,412750,1239.2
,"Etowah County, AL",1055,Drug-induced causes,D,239,1136103,21
,"Etowah County, AL",1055,Alcohol-induced causes,A,81,1136103,7.1
,"Etowah County, AL",1055,All other non-drug and non-alcohol causes,O,15268,1136103,1343.9
,"Fayette County, AL",1057,Drug-induced causes,D,40,183938,21.7
,"Fayette County, AL",1057,Alcohol-induced causes,A,12,183938,Unreliable
,"Fayette County, AL",1057,All other non-drug and non-alcohol causes,O,2586,183938,1405.9
,"Franklin County, AL",1059,Drug-induced causes,D,65,347533,18.7
,"Franklin County, AL",1059,Alcohol-induced causes,A,21,347533,6
,"Franklin County, AL",1059,All other non-drug and non-alcohol causes,O,4242,347533,1220.6
,"Geneva County, AL",1061,Drug-induced causes,D,44,292749,15
,"Geneva County, AL",1061,Alcohol-induced causes,A,39,292749,13.3
,"Geneva County, AL",1061,All other non-drug and non-alcohol causes,O,3941,292749,1346.2
,"Greene County, AL",1063,Drug-induced causes,D,Suppressed,93704,Suppressed
,"Greene County, AL",1063,Alcohol-induced causes,A,Suppressed,93704,Suppressed
,"Greene County, AL",1063,All other non-drug and non-alcohol causes,O,1231,93704,1313.7
,"Hale County, AL",1065,Drug-induced causes,D,12,166038,Unreliable
,"Hale County, AL",1065,Alcohol-induced causes,A,Suppressed,166038,Suppressed
,"Hale County, AL",1065,All other non-drug and non-alcohol causes,O,2115,166038,1273.8
,"Henry County, AL",1067,Drug-induced causes,D,10,189656,Unreliable
,"Henry County, AL",1067,Alcohol-induced causes,A,16,189656,Unreliable
,"Henry County, AL",1067,All other non-drug and non-alcohol causes,O,2431,189656,1281.8
,"Houston County, AL",1069,Drug-induced causes,D,158,1144938,13.8
,"Houston County, AL",1069,Alcohol-induced causes,A,113,1144938,9.9
,"Houston County, AL",1069,All other non-drug and non-alcohol causes,O,11954,1144938,1044.1
,"Jackson County, AL",1071,Drug-induced causes,D,59,576563,10.2
,"Jackson County, AL",1071,Alcohol-induced causes,A,37,576563,6.4
,"Jackson County, AL",1071,All other non-drug and non-alcohol causes,O,7797,576563,1352.3
,"Jefferson County, AL",1073,Drug-induced causes,D,2270,7249978,31.3
,"Jefferson County, AL",1073,Alcohol-induced causes,A,618,7249978,8.5
,"Jefferson County, AL",1073,All other non-drug and non-alcohol causes,O,76427,7249978,1054.2
,"Lamar County, AL",1075,Drug-induced causes,D,Suppressed,154619,Suppressed
,"Lamar County, AL",1075,Alcohol-induced causes,A,Suppressed,154619,Suppressed
,"Lamar County, AL",1075,All other non-drug and non-alcohol causes,O,2176,154619,1407.3
,"Lauderdale County, AL",1077,Drug-induced causes,D,107,1019861,10.5
,"Lauderdale County, AL",1077,Alcohol-induced causes,A,90,1019861,8.8
,"Lauderdale County, AL",1077,All other non-drug and non-alcohol causes,O,12218,1019861,1198
,"Lawrence County, AL",1079,Drug-induced causes,D,52,367504,14.1
,"Lawrence County, AL",1079,Alcohol-induced causes,A,29,367504,7.9
,"Lawrence County, AL",1079,All other non-drug and non-alcohol causes,O,4510,367504,1227.2
,"Lee County, AL",1081,Drug-induced causes,D,138,1709062,8.1
,"Lee County, AL",1081,Alcohol-induced causes,A,102,1709062,6
,"Lee County, AL",1081,All other non-drug and non-alcohol causes,O,11420,1709062,668.2
,"Limestone County, AL",1083,Drug-induced causes,D,77,1011572,7.6
,"Limestone County, AL",1083,Alcohol-induced causes,A,54,1011572,5.3
,"Limestone County, AL",1083,All other non-drug and non-alcohol causes,O,8553,1011572,845.5
,"Lowndes County, AL",1085,Drug-induced causes,D,Suppressed,114819,Suppressed
,"Lowndes County, AL",1085,Alcohol-induced causes,A,Suppressed,114819,Suppressed
,"Lowndes County, AL",1085,All other non-drug and non-alcohol causes,O,1534,114819,1336
,"Macon County, AL",1087,Drug-induced causes,D,13,213507,Unreliable
,"Macon County, AL",1087,Alcohol-induced causes,A,11,213507,Unreliable
,"Macon County, AL",1087,All other non-drug and non-alcohol causes,O,2707,213507,1267.9
,"Madison County, AL",1089,Drug-induced causes,D,578,3905176,14.8
,"Madison County, AL",1089,Alcohol-induced causes,A,227,3905176,5.8
,"Madison County, AL",1089,All other non-drug and non-alcohol causes,O,32832,3905176,840.7
,"Marengo County, AL",1091,Drug-induced causes,D,15,218123,Unreliable
,"Marengo County, AL",1091,Alcohol-induced causes,A,Suppressed,218123,Suppressed
,"Marengo County, AL",1091,All other non-drug and non-alcohol causes,O,2947,218123,1351.1
,"Marion County, AL",1093,Drug-induced causes,D,18,331545,Unreliable
,"Marion County, AL",1093,Alcohol-induced causes,A,14,331545,Unreliable
,"Marion County, AL",1093,All other non-drug and non-alcohol causes,O,4657,331545,1404.6
,"Marshall County, AL",1095,Drug-induced causes,D,175,1046660,16.7
,"Marshall County, AL",1095,Alcohol-induced causes,A,100,1046660,9.6
,"Marshall County, AL",1095,All other non-drug and non-alcohol causes,O,12231,1046660,1168.6
,"Mobile County, AL",1097,Drug-induced causes,D,699,4552576,15.4
,"Mobile County, AL",1097,Alcohol-induced causes,A,370,4552576,8.1
,"Mobile County, AL",1097,All other non-drug and non-alcohol causes,O,47124,4552576,1035.1
,"Monroe County, AL",1099,Drug-induced causes,D,24,239402,10
,"Monroe County, AL",1099,Alcohol-induced causes,A,22,239402,9.2
,"Monroe County, AL",1099,All other non-drug and non-alcohol causes,O,2964,239402,1238.1
,"Montgomery County, AL",1101,Drug-induced causes,D,192,2500794,7.7
,"Montgomery County, AL",1101,Alcohol-induced causes,A,124,2500794,5
,"Montgomery County, AL",1101,All other non-drug and non-alcohol causes,O,23330,2500794,932.9
,"Morgan County, AL",1103,Drug-induced causes,D,221,1315278,16.8
,"Morgan County, AL",1103,Alcohol-induced causes,A,102,1315278,7.8
,"Morgan County, AL",1103,All other non-drug and non-alcohol causes,O,14435,1315278,1097.5
,"Perry County, AL",1105,Drug-induced causes,D,Suppressed,106306,Suppressed
,"Perry County, AL",1105,Alcohol-induced causes,A,10,106306,Unreliable
,"Perry County, AL",1105,All other non-drug and non-alcohol causes,O,1504,106306,1414.8
,"Pickens County, AL",1107,Drug-induced causes,D,31,219291,14.1
,"Pickens County, AL",1107,Alcohol-induced causes,A,13,219291,Unreliable
,"Pickens County, AL",1107,All other non-drug and non-alcohol causes,O,2791,219291,1272.7
,"Pike County, AL",1109,Drug-induced causes,D,30,364741,8.2
,"Pike County, AL",1109,Alcohol-induced causes,A,28,364741,7.7
,"Pike County, AL",1109,All other non-drug and non-alcohol causes,O,3563,364741,976.9
,"Randolph County, AL",1111,Drug-induced causes,D,26,250026,10.4
,"Randolph County, AL",1111,Alcohol-induced causes,A,Suppressed,250026,Suppressed
,"Randolph County, AL",1111,All other non-drug and non-alcohol causes,O,3307,250026,1322.7
,"Russell County, AL",1113,Drug-induced causes,D,104,633388,16.4
,"Russell County, AL",1113,Alcohol-induced causes,A,58,633388,9.2
,"Russell County, AL",1113,All other non-drug and non-alcohol causes,O,6443,633388,1017.2
,"St. Clair County, AL",1115,Drug-induced causes,D,266,958466,27.8
,"St. Clair County, AL",1115,Alcohol-induced causes,A,49,958466,5.1
,"St. Clair County, AL",1115,All other non-drug and non-alcohol causes,O,9908,958466,1033.7
,"Shelby County, AL",1117,Drug-induced causes,D,419,2292574,18.3
,"Shelby County, AL",1117,Alcohol-induced causes,A,144,2292574,6.3
,"Shelby County, AL",1117,All other non-drug and non-alcohol causes,O,15189,2292574,662.5
,"Sumter County, AL",1119,Drug-induced causes,D,Suppressed,143368,Suppressed
,"Sumter County, AL",1119,Alcohol-induced causes,A,Suppressed,143368,Suppressed
,"Sumter County, AL",1119,All other non-drug and non-alcohol causes,O,1752,143368,1222
,"Talladega County, AL",1121,Drug-induced causes,D,110,888956,12.4
,"Talladega County, AL",1121,Alcohol-induced causes,A,45,888956,5.1
,"Talladega County, AL",1121,All other non-drug and non-alcohol causes,O,10843,888956,1219.7
,"Tallapoosa County, AL",1123,Drug-induced causes,D,49,450024,10.9
,"Tallapoosa County, AL",1123,Alcohol-induced causes,A,53,450024,11.8
,"Tallapoosa County, AL",1123,All other non-drug and non-alcohol causes,O,5831,450024,1295.7
,"Tuscaloosa County, AL",1125,Drug-induced causes,D,338,2240409,15.1
,"Tuscaloosa County, AL",1125,Alcohol-induced causes,A,121,2240409,5.4
,"Tuscaloosa County, AL",1125,All other non-drug and non-alcohol causes,O,18808,2240409,839.5
,"Walker County, AL",1127,Drug-induced causes,D,242,716068,33.8
,"Walker County, AL",1127,Alcohol-induced causes,A,58,716068,8.1
,"Walker County, AL",1127,All other non-drug and non-alcohol causes,O,11057,716068,1544.1
,"Washington County, AL",1129,Drug-induced causes,D,11,184516,Unreliable
,"Washington County, AL",1129,Alcohol-induced causes,A,10,184516,Unreliable
,"Washington County, AL",1129,All other non-drug and non-alcohol causes,O,2233,184516,1210.2
,"Wilcox County, AL",1131,Drug-induced causes,D,Suppressed,120958,Suppressed
,"Wilcox County, AL",1131,Alcohol-induced causes,A,12,120958,Unreliable
,"Wilcox County, AL",1131,All other non-drug and non-alcohol causes,O,1648,120958,1362.5
,"Winston County, AL",1133,Drug-induced causes,D,29,263416,11
,"Winston County, AL",1133,Alcohol-induced causes,A,18,263416,Unreliable
,"Winston County, AL",1133,All other non-drug and non-alcohol causes,O,3476,263416,1319.6
,"Aleutians East Borough, AK",2013,Drug-induced causes,D,Suppressed,36186,Suppressed
,"Aleutians East Borough, AK",2013,Alcohol-induced causes,A,Suppressed,36186,Suppressed
,"Aleutians East Borough, AK",2013,All other non-drug and non-alcohol causes,O,66,36186,182.4
,"Aleutians West Census Area, AK",2016,Drug-induced causes,D,Suppressed,62022,Suppressed
,"Aleutians West Census Area, AK",2016,Alcohol-induced causes,A,11,62022,Unreliable
,"Aleutians West Census Area, AK",2016,All other non-drug and non-alcohol causes,O,140,62022,225.7
,"Anchorage Borough, AK",2020,Drug-induced causes,D,668,3245842,20.6
,"Anchorage Borough, AK",2020,Alcohol-induced causes,A,736,3245842,22.7
,"Anchorage Borough, AK",2020,All other non-drug and non-alcohol causes,O,16943,3245842,522
,"Bethel Census Area, AK",2050,Drug-induced causes,D,18,196830,Unreliable
,"Bethel Census Area, AK",2050,Alcohol-induced causes,A,90,196830,45.7
,"Bethel Census Area, AK",2050,All other non-drug and non-alcohol causes,O,1151,196830,584.8
,"Bristol Bay Borough, AK",2060,Drug-induced causes,D,Suppressed,10093,Suppressed
,"Bristol Bay Borough, AK",2060,Alcohol-induced causes,A,Suppressed,10093,Suppressed
,"Bristol Bay Borough, AK",2060,All other non-drug and non-alcohol causes,O,80,10093,792.6
,"Denali Borough, AK",2068,Drug-induced causes,D,Suppressed,21527,Suppressed
,"Denali Borough, AK",2068,Alcohol-induced causes,A,Suppressed,21527,Suppressed
,"Denali Borough, AK",2068,All other non-drug and non-alcohol causes,O,94,21527,436.7
,"Dillingham Census Area, AK",2070,Drug-induced causes,D,12,54486,Unreliable
,"Dillingham Census Area, AK",2070,Alcohol-induced causes,A,25,54486,45.9
,"Dillingham Census Area, AK",2070,All other non-drug and non-alcohol causes,O,375,54486,688.3
,"Fairbanks North Star Borough, AK",2090,Drug-induced causes,D,143,1088248,13.1
,"Fairbanks North Star Borough, AK",2090,Alcohol-induced causes,A,192,1088248,17.6
,"Fairbanks North Star Borough, AK",2090,All other non-drug and non-alcohol causes,O,4804,1088248,441.4
,"Haines Borough, AK",2100,Drug-induced causes,D,0,27946,Unreliable
,"Haines Borough, AK",2100,Alcohol-induced causes,A,Suppressed,27946,Suppressed
,"Haines Borough, AK",2100,All other non-drug and non-alcohol causes,O,191,27946,683.5
,"Hoonah-Angoon Census Area, AK",2105,Drug-induced causes,D,Suppressed,14878,Suppressed
,"Hoonah-Angoon Census Area, AK",2105,Alcohol-induced causes,A,Suppressed,14878,Suppressed
,"Hoonah-Angoon Census Area, AK",2105,All other non-drug and non-alcohol causes,O,110,14878,739.3
,"Juneau Borough, AK",2110,Drug-induced causes,D,86,354315,24.3
,"Juneau Borough, AK",2110,Alcohol-induced causes,A,79,354315,22.3
,"Juneau Borough, AK",2110,All other non-drug and non-alcohol causes,O,1850,354315,522.1
,"Kenai Peninsula Borough, AK",2122,Drug-induced causes,D,132,635054,20.8
,"Kenai Peninsula Borough, AK",2122,Alcohol-induced causes,A,119,635054,18.7
,"Kenai Peninsula Borough, AK",2122,All other non-drug and non-alcohol causes,O,4396,635054,692.2
,"Ketchikan Gateway Borough, AK",2130,Drug-induced causes,D,26,151242,17.2
,"Ketchikan Gateway Borough, AK",2130,Alcohol-induced causes,A,38,151242,25.1
,"Ketchikan Gateway Borough, AK",2130,All other non-drug and non-alcohol causes,O,997,151242,659.2
,"Kodiak Island Borough, AK",2150,Drug-induced causes,D,20,150228,13.3
,"Kodiak Island Borough, AK",2150,Alcohol-induced causes,A,24,150228,16
,"Kodiak Island Borough, AK",2150,All other non-drug and non-alcohol causes,O,660,150228,439.3
,"Lake and Peninsula Borough, AK",2164,Drug-induced causes,D,Suppressed,17649,Suppressed
,"Lake and Peninsula Borough, AK",2164,Alcohol-induced causes,A,Suppressed,17649,Suppressed
,"Lake and Peninsula Borough, AK",2164,All other non-drug and non-alcohol causes,O,132,17649,747.9
,"Matanuska-Susitna Borough, AK",2170,Drug-induced causes,D,210,1106072,19
,"Matanuska-Susitna Borough, AK",2170,Alcohol-induced causes,A,141,1106072,12.7
,"Matanuska-Susitna Borough, AK",2170,All other non-drug and non-alcohol causes,O,6046,1106072,546.6
,"Nome Census Area, AK",2180,Drug-induced causes,D,Suppressed,108577,Suppressed
,"Nome Census Area, AK",2180,Alcohol-induced causes,A,35,108577,32.2
,"Nome Census Area, AK",2180,All other non-drug and non-alcohol causes,O,756,108577,696.3
,"North Slope Borough, AK",2185,Drug-induced causes,D,14,106038,Unreliable
,"North Slope Borough, AK",2185,Alcohol-induced causes,A,27,106038,25.5
,"North Slope Borough, AK",2185,All other non-drug and non-alcohol causes,O,501,106038,472.5
,"Northwest Arctic Borough, AK",2188,Drug-induced causes,D,Suppressed,84513,Suppressed
,"Northwest Arctic Borough, AK",2188,Alcohol-induced causes,A,29,84513,34.3
,"Northwest Arctic Borough, AK",2188,All other non-drug and non-alcohol causes,O,514,84513,608.2
,"Petersburg Borough/Census Area, AK",2195,Drug-induced causes,D,Suppressed,22550,Suppressed
,"Petersburg Borough/Census Area, AK",2195,Alcohol-induced causes,A,Suppressed,22550,Suppressed
,"Petersburg Borough/Census Area, AK",2195,All other non-drug and non-alcohol causes,O,162,22550,718.4
,"Prince of Wales-Hyder Census Area, AK",2198,Drug-induced causes,D,Suppressed,44299,Suppressed
,"Prince of Wales-Hyder Census Area, AK",2198,Alcohol-induced causes,A,17,44299,Unreliable
,"Prince of Wales-Hyder Census Area, AK",2198,All other non-drug and non-alcohol causes,O,355,44299,801.4
,"Prince of Wales-Outer Ketchikan Census Area, AK",2201,Drug-induced causes,D,Suppressed,22833,Suppressed
,"Prince of Wales-Outer Ketchikan Census Area, AK",2201,Alcohol-induced causes,A,Suppressed,22833,Suppressed
,"Prince of Wales-Outer Ketchikan Census Area, AK",2201,All other non-drug and non-alcohol causes,O,131,22833,573.7
,"Sitka Borough, AK",2220,Drug-induced causes,D,12,96726,Unreliable
,"Sitka Borough, AK",2220,Alcohol-induced causes,A,25,96726,25.8
,"Sitka Borough, AK",2220,All other non-drug and non-alcohol causes,O,652,96726,674.1
,"Skagway Municipality, AK",2230,Drug-induced causes,D,0,7848,Unreliable
,"Skagway Municipality, AK",2230,Alcohol-induced causes,A,0,7848,Unreliable
,"Skagway Municipality, AK",2230,All other non-drug and non-alcohol causes,O,37,7848,471.5
,"Skagway-Hoonah-Angoon Census Area, AK",2232,Drug-induced causes,D,0,12393,Unreliable
,"Skagway-Hoonah-Angoon Census Area, AK",2232,Alcohol-induced causes,A,Suppressed,12393,Suppressed
,"Skagway-Hoonah-Angoon Census Area, AK",2232,All other non-drug and non-alcohol causes,O,75,12393,605.2
,"Southeast Fairbanks Census Area, AK",2240,Drug-induced causes,D,10,76592,Unreliable
,"Southeast Fairbanks Census Area, AK",2240,Alcohol-induced causes,A,Suppressed,76592,Suppressed
,"Southeast Fairbanks Census Area, AK",2240,All other non-drug and non-alcohol causes,O,511,76592,667.2
,"Valdez-Cordova Census Area, AK",2261,Drug-induced causes,D,15,94735,Unreliable
,"Valdez-Cordova Census Area, AK",2261,Alcohol-induced causes,A,39,94735,41.2
,"Valdez-Cordova Census Area, AK",2261,All other non-drug and non-alcohol causes,O,593,94735,626
,"Wade Hampton Census Area, AK",2270,Drug-induced causes,D,Suppressed,88232,Suppressed
,"Wade Hampton Census Area, AK",2270,Alcohol-induced causes,A,21,88232,23.8
,"Wade Hampton Census Area, AK",2270,All other non-drug and non-alcohol causes,O,629,88232,712.9
,"Wrangell City and Borough, AK",2275,Drug-induced causes,D,Suppressed,17193,Suppressed
,"Wrangell City and Borough, AK",2275,Alcohol-induced causes,A,Suppressed,17193,Suppressed
,"Wrangell City and Borough, AK",2275,All other non-drug and non-alcohol causes,O,144,17193,837.6
,"Wrangell-Petersburg Census Area, AK",2280,Drug-induced causes,D,Suppressed,24825,Suppressed
,"Wrangell-Petersburg Census Area, AK",2280,Alcohol-induced causes,A,Suppressed,24825,Suppressed
,"Wrangell-Petersburg Census Area, AK",2280,All other non-drug and non-alcohol causes,O,192,24825,773.4
,"Yakutat Borough, AK",2282,Drug-induced causes,D,0,6892,Unreliable
,"Yakutat Borough, AK",2282,Alcohol-induced causes,A,0,6892,Unreliable
,"Yakutat Borough, AK",2282,All other non-drug and non-alcohol causes,O,38,6892,551.4
,"Yukon-Koyukuk Census Area, AK",2290,Drug-induced causes,D,Suppressed,60314,Suppressed
,"Yukon-Koyukuk Census Area, AK",2290,Alcohol-induced causes,A,51,60314,84.6
,"Yukon-Koyukuk Census Area, AK",2290,All other non-drug and non-alcohol causes,O,543,60314,900.3
,"Apache County, AZ",4001,Drug-induced causes,D,87,792648,11
,"Apache County, AZ",4001,Alcohol-induced causes,A,604,792648,76.2
,"Apache County, AZ",4001,All other non-drug and non-alcohol causes,O,7086,792648,894
,"Cochise County, AZ",4003,Drug-induced causes,D,291,1410739,20.6
,"Cochise County, AZ",4003,Alcohol-induced causes,A,227,1410739,16.1
,"Cochise County, AZ",4003,All other non-drug and non-alcohol causes,O,14002,1410739,992.5
,"Coconino County, AZ",4005,Drug-induced causes,D,275,1528756,18
,"Coconino County, AZ",4005,Alcohol-induced causes,A,536,1528756,35.1
,"Coconino County, AZ",4005,All other non-drug and non-alcohol causes,O,8241,1528756,539.1
,"Gila County, AZ",4007,Drug-induced causes,D,181,588483,30.8
,"Gila County, AZ",4007,Alcohol-induced causes,A,243,588483,41.3
,"Gila County, AZ",4007,All other non-drug and non-alcohol causes,O,7962,588483,1353
,"Graham County, AZ",4009,Drug-induced causes,D,92,416073,22.1
,"Graham County, AZ",4009,Alcohol-induced causes,A,74,416073,17.8
,"Graham County, AZ",4009,All other non-drug and non-alcohol causes,O,3084,416073,741.2
,"Greenlee County, AZ",4011,Drug-induced causes,D,14,101159,Unreliable
,"Greenlee County, AZ",4011,Alcohol-induced causes,A,12,101159,Unreliable
,"Greenlee County, AZ",4011,All other non-drug and non-alcohol causes,O,657,101159,649.5
,"La Paz County, AZ",4012,Drug-induced causes,D,59,226500,26
,"La Paz County, AZ",4012,Alcohol-induced causes,A,107,226500,47.2
,"La Paz County, AZ",4012,All other non-drug and non-alcohol causes,O,2925,226500,1291.4
,"Maricopa County, AZ",4013,Drug-induced causes,D,10286,45929429,22.4
,"Maricopa County, AZ",4013,Alcohol-induced causes,A,6494,45929429,14.1
,"Maricopa County, AZ",4013,All other non-drug and non-alcohol causes,O,312906,45929429,681.3
,"Mohave County, AZ",4015,Drug-induced causes,D,660,2268385,29.1
,"Mohave County, AZ",4015,Alcohol-induced causes,A,725,2268385,32
,"Mohave County, AZ",4015,All other non-drug and non-alcohol causes,O,33188,2268385,1463.1
,"Navajo County, AZ",4017,Drug-induced causes,D,271,1198104,22.6
,"Navajo County, AZ",4017,Alcohol-induced causes,A,774,1198104,64.6
,"Navajo County, AZ",4017,All other non-drug and non-alcohol causes,O,10610,1198104,885.6
,"Pima County, AZ",4019,Drug-induced causes,D,2880,11159823,25.8
,"Pima County, AZ",4019,Alcohol-induced causes,A,1951,11159823,17.5
,"Pima County, AZ",4019,All other non-drug and non-alcohol causes,O,98514,11159823,882.8
,"Pinal County, AZ",4021,Drug-induced causes,D,709,4583511,15.5
,"Pinal County, AZ",4021,Alcohol-induced causes,A,691,4583511,15.1
,"Pinal County, AZ",4021,All other non-drug and non-alcohol causes,O,30801,4583511,672
,"Santa Cruz County, AZ",4023,Drug-induced causes,D,68,514337,13.2
,"Santa Cruz County, AZ",4023,Alcohol-induced causes,A,49,514337,9.5
,"Santa Cruz County, AZ",4023,All other non-drug and non-alcohol causes,O,3233,514337,628.6
,"Yavapai County, AZ",4025,Drug-induced causes,D,740,2452838,30.2
,"Yavapai County, AZ",4025,Alcohol-induced causes,A,548,2452838,22.3
,"Yavapai County, AZ",4025,All other non-drug and non-alcohol causes,O,30811,2452838,1256.1
,"Yuma County, AZ",4027,Drug-induced causes,D,384,2262270,17
,"Yuma County, AZ",4027,Alcohol-induced causes,A,214,2262270,9.5
,"Yuma County, AZ",4027,All other non-drug and non-alcohol causes,O,16465,2262270,727.8
,"Arkansas County, AR",5001,Drug-induced causes,D,28,201426,13.9
